,Time,CPU_Percentage,Scripts,Number_scripts,Bloque,RAM_Percentage
141,1623430312,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
142,1623430313,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
143,1623430314,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
144,1623430315,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
145,1623430316,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
146,1623430317,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
147,1623430318,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
148,1623430319,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
149,1623430320,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
150,1623430321,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
151,1623430322,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
152,1623430323,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
153,1623430324,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
154,1623430325,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
155,1623430326,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
156,1623430327,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
157,1623430328,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
158,1623430329,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
159,1623430330,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
160,1623430332,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
161,1623430333,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
162,1623430334,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
163,1623430335,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
164,1623430336,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
165,1623430337,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
166,1623430338,2.3,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
167,1623430339,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
168,1623430340,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
169,1623430341,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
170,1623430342,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
171,1623430343,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
172,1623430344,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
173,1623430345,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
174,1623430346,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
175,1623430347,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
176,1623430348,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
177,1623430349,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
178,1623430350,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
179,1623430351,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
180,1623430352,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
181,1623430353,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
182,1623430354,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
183,1623430355,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
184,1623430356,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
185,1623430357,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
186,1623430358,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
187,1623430359,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
188,1623430360,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
189,1623430361,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
190,1623430362,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
191,1623430363,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
192,1623430364,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
193,1623430365,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
194,1623430366,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
195,1623430367,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
196,1623430368,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
197,1623430369,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
198,1623430370,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
199,1623430371,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
200,1623430372,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
201,1623430373,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
202,1623430374,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
203,1623430375,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
204,1623430376,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
205,1623430377,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
206,1623430378,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
207,1623430379,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
208,1623430380,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
209,1623430381,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
210,1623430382,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
211,1623430383,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
212,1623430384,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
213,1623430385,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
214,1623430386,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
215,1623430387,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
216,1623430388,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
217,1623430389,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
218,1623430390,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
219,1623430391,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
220,1623430392,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
221,1623430393,2.5,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
222,1623430394,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
223,1623430395,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
224,1623430396,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
225,1623430397,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
226,1623430398,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
227,1623430399,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
228,1623430400,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
229,1623430401,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
230,1623430402,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
231,1623430403,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
232,1623430404,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
233,1623430405,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
234,1623430406,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
235,1623430408,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
236,1623430409,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
237,1623430410,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
238,1623430411,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
239,1623430412,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
240,1623430413,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
241,1623430414,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
242,1623430415,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
243,1623430416,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
244,1623430417,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
245,1623430418,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
246,1623430419,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
247,1623430420,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
248,1623430421,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
249,1623430422,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
250,1623430423,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
251,1623430424,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
252,1623430425,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
253,1623430426,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
254,1623430427,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
255,1623430428,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
256,1623430429,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
257,1623430430,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
258,1623430431,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
259,1623430432,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
260,1623430433,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
261,1623430434,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
262,1623430435,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
263,1623430436,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
264,1623430437,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
265,1623430438,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
266,1623430439,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
267,1623430440,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
268,1623430441,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
269,1623430442,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
270,1623430443,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
271,1623430444,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
272,1623430445,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
273,1623430446,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
274,1623430447,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
275,1623430448,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
276,1623430449,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
277,1623430450,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
278,1623430451,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
279,1623430452,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
280,1623430453,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
281,1623430454,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
282,1623430455,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
283,1623430456,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
284,1623430457,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
285,1623430458,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
286,1623430459,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
287,1623430460,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
288,1623430461,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
289,1623430462,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
290,1623430463,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
291,1623430464,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
292,1623430465,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
293,1623430466,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
294,1623430467,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
295,1623430468,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
296,1623430469,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
297,1623430470,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
298,1623430471,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
299,1623430472,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
300,1623430473,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
301,1623430474,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
302,1623430475,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
303,1623430476,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
304,1623430477,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
305,1623430478,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
306,1623430479,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
307,1623430480,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
308,1623430482,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
309,1623430483,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
310,1623430484,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
311,1623430485,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
312,1623430486,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
313,1623430487,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
314,1623430488,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
315,1623430489,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
316,1623430490,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
317,1623430491,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
